Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.199-104.18.107.66-46644-443-6,192.168.1.199,46644,104.18.107.66,443,6,07/05/2023 02:47:43 PM,2061196,4,3,78.0,78.0,39.0,0.0,19.5,22.516660498395403,39.0,0.0,26.0,22.516660498395403,75.68421440755756,3.396086543928865,343532.6666666667,725419.6982323176,1812798.0,53.0,2045021.0,681673.6666666666,986149.855932826,1812798.0,2490.0,246007.0,123003.5,151003.3602291684,229779.0,16228.0,1,0,0,0,140,108,1.9406208822450657,1.4554656616837993,0.0,39.0,24.375,20.184417610763862,407.4107142857143,0,0,0,4,7,0,0,0,0.0,27.857142857142858,19.5,26.0,0,0,0,0,0,0,0,11,0,11,501,8,1,32,0,0,0,0,1.683485263453952E15,0.0,1.683485263453952E15,1.683485263453952E15,NeedManualLabel
35.244.233.98-192.168.1.190-443-60339-17,35.244.233.98,443,192.168.1.190,60339,17,07/05/2023 02:47:44 PM,540,50,4,67368.0,136.0,1357.0,882.0,1347.36,67.1622342859863,37.0,33.0,34.0,2.0,1.250074074074074E8,100000.0,10.188679245283023,9.315117167134595,76.0,7.0,540.0,11.020408163265301,9.873132304218283,76.0,7.0,437.0,145.66666666666666,18.502252115170556,167.0,134.0,0,0,0,0,400,32,92592.5925925926,7407.407407407407,33.0,1357.0,1252.0181818181813,350.15438345948525,122608.09225589222,0,0,0,0,0,0,0,0,0.0,1275.2037037037037,1347.36,34.0,0,0,0,67504,54,125007407,0,1247,0,2,0,0,49,8,0,0,0,0,1.683485264071817E15,0.0,1.683485264071817E15,1.683485264071817E15,NeedManualLabel
142.250.80.74-192.168.1.199-443-48616-6,142.250.80.74,443,192.168.1.199,48616,6,07/05/2023 02:47:45 PM,502939,12,9,500.0,1074.0,124.0,0.0,41.666666666666664,35.46146008718693,539.0,0.0,119.33333333333333,216.28915830434036,3129.6041865912166,41.75456665718904,25146.949999999997,54429.91069882054,196609.0,-98.0,502939.0,45721.72727272727,71344.10250762275,196855.0,0.0,306267.0,38283.375,61338.90691405182,146260.0,15.0,1,0,0,0,384,288,23.859752375536594,17.894814281652447,0.0,539.0,77.18181818181817,141.65674016661555,20066.63203463203,0,0,0,13,21,0,0,0,0.0,80.85714285714286,41.666666666666664,119.33333333333333,0,0,0,1574,13,3129,0,23,0,51,1045,501,8,32,0,0,0,0,1.683485265926021E15,0.0,1.683485265926021E15,1.683485265926021E15,NeedManualLabel
142.251.40.238-192.168.1.199-443-34050-6,142.251.40.238,443,192.168.1.199,34050,6,07/05/2023 02:47:42 PM,594206,3,3,792.0,0.0,264.0,264.0,264.0,0.0,0.0,0.0,0.0,0.0,1332.8710918435693,10.097508271542193,118841.2,145708.65100672643,295342.0,63.0,594139.0,297069.5,2353.9584745700167,298734.0,295405.0,553679.0,276839.5,26261.23874648719,295409.0,258270.0,1,0,0,0,96,120,5.048754135771096,5.048754135771096,0.0,264.0,150.85714285714286,141.11393572976007,19913.14285714286,0,0,0,3,6,0,0,0,1.0,176.0,264.0,0.0,0,0,0,0,0,0,0,132,0,0,1045,4271,2,32,0,0,0,0,1.683485262277056E15,0.0,1.683485262277056E15,1.683485262277056E15,NeedManualLabel
